(752998.000000,0.000000)
(-3183.325092,-378.617193)
(-3524.294756,160.397220)
(1415.698277,-3834.672201)
(-2266.209667,-1633.481528)
(-1674.669010,-1025.359270)
(-4426.163558,2737.369951)
(-3591.101956,1444.397221)
(-3864.791573,761.683677)
(-2755.054521,-1038.692583)
(-3037.986950,184.802610)
(-3388.675486,1271.748640)
(-3760.177164,-496.231829)
(-3298.195290,-580.063073)
(-3657.276384,-39.586812)
(-4286.842700,-905.587586)
(-3718.817731,387.796653)
(-3449.502812,-316.554814)
(-3728.129874,49.632636)
(-5197.119265,-771.464904)
(-6952.295447,1499.507751)
(-5973.042227,-343.333192)
(-6116.390924,-300.352440)
(-6668.155744,439.966703)
(-9253.032712,-765.469629)
(-13619.449343,-6500.788169)
(563.774863,12788.577364)
(-8231.015431,6468.294001)
(-12378.929263,5651.108536)
(-17323.142362,6086.838781)
(-33563.254808,9616.830993)
(-145162.291048,37232.647901)
(58908.228750,-14495.981592)
(24550.381935,-5924.861574)
(15478.039051,-4451.728186)
(11012.513126,-1982.480964)
(8726.693353,-2831.456250)
(7048.848283,-4158.796056)
(5369.876646,-874.988530)
(4872.242492,-831.577891)
(5137.062264,-759.816671)
(3455.084384,-697.289900)
(2923.606168,-541.748490)
(2548.180976,-623.793852)
(2441.198311,-181.920696)
(2638.085617,-112.810476)
(2604.744437,-733.494058)
(2197.236482,-723.786565)
(474.525235,838.583074)
(2415.610905,-1351.888112)
(2041.328269,-419.373157)
(1338.472966,-1743.050491)
(1128.333594,204.164549)
(2114.245534,-288.007126)
(2776.582265,7069.389288)
(133.844835,601.211416)
(1178.329595,-294.394357)
(296.441125,-832.480907)
(-615.248458,180.447400)
(-2167.115955,-187.520828)
(4299.365644,795.912024)
(-740.019796,990.823210)
(-5387.663629,3104.907542)
(11163.339362,-4753.582559)
(3610.000000,-1358.000000)
(2851.500537,282.349899)
(2635.776729,-1547.735024)
(1655.057255,34.688696)
(2902.568590,2289.830675)
(1696.489691,-2513.432887)
(1873.667078,-1601.875988)
(217.515146,-1178.892462)
(1879.979254,-1323.294645)
(915.871349,-1672.832879)
(2598.917397,148.324063)
(1416.369359,-1535.303241)
(1662.617862,-1330.354373)
(-499.915214,-461.949107)
(1068.462829,-1444.482557)
(1288.429724,-2211.575634)
(136.733276,-1478.133014)
(417.406971,-2195.443477)
(274.500461,-7111.548892)
(188.529091,5018.585046)
(99.379239,1534.700704)
(-115.210703,910.371462)
(-559.676108,-166.769786)
(-1522.668561,-1286.206680)
(-14234.407585,-6867.344465)
(5414.572254,1838.898367)
(1622.387036,-627.232306)
(2833.445266,499.790660)
(2090.660183,-696.582736)
(2513.155617,-607.978991)
(-4811.342258,6039.215978)
(-850.961235,1536.370396)
(1233.771250,-225.981592)
(144.013424,548.710682)
(119.761816,1072.899943)
(1787.800433,-273.431797)
(657.197040,260.020178)
(-300.766022,-396.340516)
(154.380518,-53.809161)
(925.815607,282.156927)
(1183.618161,-872.659477)
(-2231.103731,-218.284421)
(1720.750798,-408.932727)
(578.227044,-486.400794)
(1955.896732,-688.321397)
(765.338114,-1105.988301)
(1241.426507,-959.892492)
(-3484.632454,7729.938033)
(-656.440780,-24.919435)
(-202.651609,-363.289063)
(-422.738561,-478.471131)
(-68.423974,-867.282458)
(-2104.611417,-2480.954263)
(3744.568347,4046.000790)
(-74.545006,1139.109275)
(451.039657,510.795558)
(3133.242596,645.121335)
(1804.123193,729.043439)
(399.944692,350.417647)
(1882.409518,-290.629295)
(1594.312409,-643.277712)
(3322.995329,-4427.172657)
(840.783714,713.157767)
(402.152315,-246.569108)
(930.000000,0.000000)
