(796031.000000,0.000000)
(801.457480,247.864004)
(586.071358,-472.293569)
(-367.291087,-660.246773)
(563.023349,-43.522568)
(308.727425,333.176492)
(1244.035502,322.526191)
(-6.297889,-124.952595)
(708.024515,765.616345)
(1574.950516,-133.928503)
(679.303500,-483.985922)
(3468.235996,1192.130595)
(-1380.599452,27.011378)
(-734.745319,-21.353217)
(-934.317461,-293.393903)
(-119.730583,-149.030932)
(193.028655,-37.692139)
(3167.010255,924.637915)
(-49.928431,-28.574187)
(-810.366190,-495.257279)
(-415.974545,-972.245066)
(-210.273286,-83.611392)
(-66.804137,-849.484304)
(-818.563020,-382.692172)
(-214.530004,-38.257754)
(-431.277555,-299.411538)
(-288.902708,-50.647658)
(-796.065546,162.318267)
(785.735126,610.150882)
(-112.500233,-980.053845)
(-160.460215,264.399665)
(-435.500769,-493.689312)
(-642.876588,-32.892098)
(-527.577165,-395.874715)
(-535.747470,313.452560)
(-206.315630,-201.771775)
(-954.039186,-656.601585)
(-324.846138,-632.650994)
(195.633302,103.977776)
(390.930151,-450.657294)
(1561.612393,1678.189556)
(136.757148,759.420891)
(22.486234,-272.126405)
(-299.508366,-195.474538)
(-174.825562,-207.457677)
(-1523.894473,-1313.891998)
(1781.643694,1235.332245)
(157.350607,362.160271)
(797.124994,-233.699217)
(549.449238,771.208228)
(488.341980,363.483838)
(342.139559,127.289016)
(674.855519,-11.711091)
(281.486546,354.352560)
(506.528902,701.073726)
(-24.572016,-797.930453)
(157.815747,365.194361)
(-199.747488,845.276703)
(119.901389,480.073481)
(244.197164,104.839798)
(269.344869,-142.484858)
(306.240488,418.719336)
(276.468156,679.387240)
(472.583823,-255.188097)
(498.000000,-49.000000)
(154.646374,-187.239558)
(1230.791783,235.501972)
(1421.906756,1954.408913)
(7288.701545,7991.969882)
(-2410.094412,-2740.268620)
(-1398.322128,-1760.385336)
(-909.489659,-784.393740)
(-310.517892,-946.698790)
(288.296474,-679.820733)
(3306.635340,3661.809850)
(-245.501561,-76.009350)
(442.375234,-827.917311)
(-692.994493,-700.475315)
(-349.793689,126.281071)
(66.522479,-802.294991)
(-650.306669,-614.846404)
(118.966174,-360.382372)
(604.781931,241.087006)
(322.417714,-399.458354)
(-684.866636,-523.523449)
(-373.001156,-402.267951)
(161.031011,-677.350211)
(-191.728972,-96.641778)
(-541.018099,-96.805057)
(1010.448902,-337.809217)
(-568.415673,-1053.289241)
(-818.615121,-417.170440)
(143.307714,-166.078829)
(-161.820488,-602.123018)
(-307.023200,-56.094896)
(-432.161922,-520.219732)
(-1125.123412,-1676.892098)
(1168.530867,1967.703462)
(195.553374,140.942959)
(-367.019885,294.670524)
(16.341274,-226.955799)
(-634.859836,-528.343859)
(-578.809383,-2132.311971)
(394.023596,1087.193367)
(687.253602,298.152970)
(-285.809149,-522.146443)
(-150.881382,68.533307)
(-879.982532,-506.803416)
(652.849720,-202.418944)
(-308.040843,241.035276)
(528.387454,855.071231)
(-355.688859,261.616579)
(-447.846981,513.160675)
(419.158985,-557.511120)
(-61.960288,383.001975)
(-185.308187,243.264931)
(750.387747,221.390277)
(-80.642109,-875.256329)
(-477.390184,-477.211817)
(-287.201637,-139.599543)
(-40.640262,-626.871468)
(190.695993,-1203.917178)
(-156.401300,-794.894403)
(275.466283,-986.778759)
(-328.616715,-2416.004042)
(-1370.807802,-18109.130985)
(365.562740,2834.258854)
(-308.755619,38.295030)
(-299.000000,0.000000)
