(792130.000000,0.000000)
(452.242825,-219.519685)
(-24.276222,-880.485951)
(-667.579623,97.362144)
(1464.861727,1856.012645)
(1274.200922,1945.900814)
(-1931.498922,-5061.517800)
(-88.587932,-2055.874766)
(-1433.324433,-852.736856)
(-351.806105,-527.574936)
(161.144440,-919.353308)
(-462.777074,-1566.277726)
(-787.576921,405.407822)
(126.898385,1116.198898)
(-674.326235,-742.068715)
(509.649912,-284.388353)
(43.885192,-482.970331)
(538.392043,362.119633)
(-270.984742,-300.117506)
(80.462064,-1303.258750)
(444.610963,522.205304)
(-212.166219,943.413487)
(-222.404675,532.776761)
(761.219207,-1311.540568)
(982.749725,-474.259591)
(1232.350899,-1115.973147)
(620.260059,385.511152)
(224.342444,-299.907311)
(243.303689,-295.511994)
(-92.896169,179.760037)
(199.758216,-751.558228)
(-415.209713,-42.450100)
(-709.628030,-340.118362)
(-409.145007,-664.069652)
(-259.769078,2010.853728)
(-302.960869,343.687433)
(359.513972,552.813785)
(-1200.332008,-28.704682)
(518.606229,-206.299294)
(-186.837011,-275.848606)
(676.415966,-1103.944891)
(358.719083,-1036.278931)
(-1188.258406,-981.043681)
(162.135627,-709.169481)
(394.824612,-519.646167)
(-1156.698934,-1429.837389)
(151.883167,-787.123380)
(450.994027,-1325.389566)
(90.199261,-644.990810)
(-583.376707,-475.831957)
(-114.910621,-1488.813247)
(-2053.088676,-168.808009)
(935.881832,-820.306323)
(652.277044,-765.651507)
(421.608202,-1248.596048)
(-645.182031,-3017.297690)
(403.434228,-2453.103455)
(-380.414411,-347.281158)
(-137.902574,-2081.750643)
(592.796914,-2161.945666)
(-2.379291,-3360.299273)
(904.985477,-4575.591289)
(2779.744541,-14991.307200)
(-4200.572945,20413.794117)
(-2333.000000,5423.000000)
(-1270.784346,2892.355433)
(-1344.655294,2249.211522)
(-52.331236,796.602910)
(-1657.386019,3624.374538)
(-757.423463,820.720386)
(427.595865,1692.647264)
(-700.901829,1037.279165)
(-373.537099,734.962836)
(-782.368457,1617.833378)
(-129.956357,481.396881)
(-922.919724,607.442458)
(-700.879466,697.131870)
(-994.537194,515.743623)
(-212.140324,904.024354)
(-1543.789618,1012.002873)
(2049.626566,1425.929246)
(-179.419235,1026.234725)
(1105.720929,-18.425887)
(296.731770,1331.554663)
(416.894512,589.808823)
(700.594629,535.731355)
(-797.541521,-172.826066)
(543.339035,299.107022)
(451.729979,215.025743)
(892.509777,485.131902)
(-651.600657,881.053230)
(-1071.118287,2432.283347)
(-326.714146,1458.127397)
(1072.312528,-1124.919499)
(1641.276910,198.898983)
(36.063585,1290.937145)
(151.628030,-340.118362)
(-370.575426,317.919521)
(277.864143,-2127.585338)
(617.576091,881.812556)
(-1639.881410,-115.086027)
(-52.529227,-228.674598)
(-220.627741,525.239494)
(-321.503972,-688.563026)
(-127.646035,-93.120701)
(-813.590471,775.157197)
(65.361894,-521.557349)
(60.372945,-464.411311)
(-2253.300540,-801.271026)
(-473.356586,-509.758638)
(-162.668490,732.764781)
(38.043643,-426.802981)
(-1371.711020,-540.050275)
(-1040.388580,-552.942395)
(318.784098,-314.413571)
(684.385649,-849.725147)
(-250.690491,931.448897)
(670.562548,-367.343010)
(840.983481,-380.966314)
(2423.116170,-2850.270766)
(-3627.822331,1157.497690)
(-1910.114625,654.823539)
(-1801.313322,-324.043591)
(-666.836305,-298.593491)
(-513.083024,293.333016)
(-432.420820,705.458608)
(-761.756991,542.347852)
(-878.734409,273.207543)
(-1076.000000,0.000000)
