(805268.000000,0.000000)
(463.842841,-121.098952)
(1094.195183,-916.175339)
(-742.132259,612.280685)
(555.433076,69.721988)
(251.350543,76.681076)
(533.329130,497.794335)
(370.772126,297.701061)
(501.252958,131.142064)
(271.639339,345.145254)
(245.997224,-1049.550432)
(1063.915417,-12.049742)
(1281.162276,183.744750)
(680.864158,1237.863266)
(1609.960806,-192.421188)
(1772.769333,273.955846)
(1412.435923,126.387734)
(381.195652,360.551690)
(778.153128,-239.606608)
(1014.874655,-109.249135)
(809.958352,-349.303335)
(1116.300373,294.850020)
(827.271896,-259.134339)
(2069.942577,315.861707)
(1939.078961,949.927249)
(4430.131627,2312.784647)
(-1446.906603,-1514.670478)
(1839.402666,-576.145592)
(2849.983839,-762.024392)
(4663.092071,-734.579132)
(7820.817754,3142.210919)
(33957.074396,6722.408667)
(-14786.152298,-3873.279580)
(-4785.340773,-2101.646741)
(-3323.388376,-1055.114801)
(-2481.187200,901.028476)
(-2725.982525,68.174357)
(-1249.135438,-205.849427)
(-627.612583,636.244377)
(-1002.534624,658.839896)
(-716.390059,-117.131768)
(-139.094333,341.893204)
(-997.611979,-296.877060)
(5.435721,-1013.596428)
(30.752249,21.384123)
(-794.122370,-585.236516)
(-750.068063,-368.517577)
(-683.315193,-559.022001)
(92.576823,170.858971)
(77.647662,357.087751)
(-483.392807,-208.133243)
(-130.122042,-203.269495)
(-264.745229,682.254547)
(-244.678948,-174.066134)
(-1153.125092,-1171.798907)
(530.742845,-674.958759)
(-212.416598,749.582143)
(-676.123154,-60.808066)
(-442.840919,-437.654513)
(335.929081,1133.045798)
(-1865.250108,-240.763560)
(-158.680836,-898.032733)
(-482.706665,617.314803)
(-805.249884,-403.391114)
(990.000000,-640.000000)
(-81.050626,642.502463)
(-106.962535,-948.972232)
(-212.499968,723.188150)
(347.855540,534.518533)
(-39.696254,-506.381346)
(609.513963,512.669453)
(-685.571373,-130.529923)
(440.329047,-567.971761)
(-113.409909,-364.234012)
(485.619347,-507.180077)
(-573.170570,-243.268331)
(68.533171,616.905491)
(10.782023,-157.482146)
(186.076744,164.664360)
(673.782565,508.290110)
(428.161201,619.968711)
(214.810248,519.132528)
(354.812245,1347.698831)
(-686.988290,-989.343449)
(-245.906286,-401.873365)
(-111.242361,-134.493006)
(-920.140316,-1293.881580)
(1264.479048,87.038630)
(2265.489968,3663.537102)
(-1389.479676,-228.479231)
(-682.620973,-1264.878274)
(188.033273,-329.150468)
(-30.636805,-821.546950)
(-104.591269,1111.301520)
(-295.261755,278.959016)
(483.499060,-594.659696)
(1084.152298,832.720420)
(403.555311,-341.380231)
(-139.062677,-1027.403537)
(-238.242603,-508.067067)
(-971.828093,-654.456019)
(687.768616,-705.482583)
(-315.115830,691.570864)
(-1035.782184,-315.715659)
(-447.268916,334.157160)
(-476.360494,220.848559)
(201.142791,555.172262)
(637.093242,718.520437)
(-757.092428,331.091857)
(134.616826,-752.067647)
(43.907929,428.488659)
(-655.942268,-2036.676317)
(-521.173946,415.497473)
(-23.527060,-863.278757)
(238.927992,-28.441529)
(320.555016,336.610121)
(-231.859797,1338.913021)
(-397.849275,-726.468294)
(-733.535517,53.685745)
(-318.912423,-831.382110)
(-98.075363,257.149200)
(333.554575,-49.935647)
(-678.943752,107.394001)
(-171.655382,-225.293089)
(381.622770,-808.841591)
(7.768415,228.292036)
(373.570310,73.758032)
(-473.532265,180.932203)
(68.000000,0.000000)
