(202759,0)
(61.1106,202.731)
(265.035,448.056)
(944.906,137.796)
(717.703,198.019)
(305.067,809.615)
(1326.07,1310.85)
(-83.3312,2219.08)
(-250.78,-11915.8)
(12.5344,-1621.76)
(251.524,-1402.07)
(144.046,-718.347)
(484.621,-429.649)
(796.034,-675.749)
(-296.021,-141.352)
(-96.5842,-338.89)
(454,-395)
(430.041,-262.774)
(-34.7745,-62.1089)
(652.53,341.193)
(525.889,-35.7912)
(655.722,-531.687)
(1396.71,26.6558)
(283.083,-582.724)
(242.78,-83.801)
(201.387,76.831)
(384.686,-235.584)
(432.088,254.823)
(111.788,-224.123)
(782.83,-879.274)
(-37.2371,-151.865)
(318.536,189.005)
(781,0)
(318.536,-189.005)
(-37.2371,151.865)
(782.83,879.274)
(111.788,224.123)
(432.088,-254.823)
(384.686,235.584)
(201.387,-76.831)
(242.78,83.801)
(283.083,582.724)
(1396.71,-26.6558)
(655.722,531.687)
(525.889,35.7912)
(652.53,-341.193)
(-34.7745,62.1089)
(430.041,262.774)
(454,395)
(-96.5842,338.89)
(-296.021,141.352)
(796.034,675.749)
(484.621,429.649)
(144.046,718.347)
(251.524,1402.07)
(12.5344,1621.76)
(-250.78,11915.8)
(-83.3312,-2219.08)
(1326.07,-1310.85)
(305.067,-809.615)
(717.703,-198.019)
(944.906,-137.796)
(265.035,-448.056)
(61.1106,-202.731)
