(775098.000000,0.000000)
(-10041.631181,3382.338024)
(-4344.551057,3939.588277)
(-1431.228115,2219.853329)
(-784.883707,2103.300471)
(-533.782749,222.777633)
(-573.889015,1501.120812)
(-788.804783,1197.745967)
(-767.271749,2134.311529)
(196.280818,2595.557793)
(-203.829302,2129.584553)
(-91.941196,3167.496173)
(-1340.501805,5277.056015)
(-1801.538384,7606.497298)
(-6062.328508,37120.496141)
(2677.292442,-8216.596200)
(1894.731955,-3615.618010)
(759.499408,-2736.042018)
(285.110426,-1364.488872)
(-0.068084,-1314.983673)
(853.921690,-1080.578736)
(728.609820,-439.004156)
(1167.127490,-1081.336558)
(-137.154536,864.341236)
(25.192079,-178.841244)
(-93.786382,-231.295707)
(358.716922,-91.788013)
(-209.321869,1014.419416)
(-152.264807,700.506300)
(-605.790421,395.722576)
(-327.758853,1589.481974)
(-623.501538,681.111381)
(-409.968768,1074.972506)
(-687.222921,1409.945449)
(-243.827532,1456.143086)
(-1743.706332,2268.976421)
(-323.494082,1057.309486)
(-290.719070,2618.473700)
(-2672.361074,2321.433846)
(-2188.741809,4393.420348)
(-2599.493461,5561.348236)
(-4113.382580,9467.092295)
(-10386.550311,20782.478547)
(25870.542246,-42795.152049)
(6828.992154,-12823.989025)
(3683.792111,-7196.447188)
(3637.477139,-4957.357351)
(2261.454383,-3683.618516)
(2014.978462,-2981.113940)
(1198.617035,-1593.174346)
(1880.987578,-2876.216433)
(1485.142593,-1614.200438)
(1127.245192,-1457.911966)
(1342.438418,-1376.447768)
(-45.634498,-601.443589)
(1347.139456,856.008854)
(1048.908623,-618.431716)
(949.379687,-1499.453184)
(744.282426,-236.836188)
(-273.240996,-217.717012)
(436.429164,-292.344957)
(-408.445074,-117.106158)
(1011.096374,-1050.842392)
(-206.117794,451.021691)
(-854.000000,-968.000000)
(187.747661,649.192247)
(-694.827726,-450.177000)
(-1490.270202,1049.202118)
(-1208.151320,2.634399)
(-939.559370,677.739292)
(-3585.368608,3340.441707)
(-24106.239710,20118.718696)
(2503.327473,-1717.382493)
(1741.392678,-742.078444)
(462.813880,-780.412420)
(-121.641292,-176.028930)
(756.550267,-333.360679)
(473.103847,80.725213)
(-376.601690,-654.975338)
(-859.626104,591.453886)
(-1173.016119,494.543632)
(-474.781705,873.467805)
(-798.122782,267.949215)
(-1091.466311,237.678443)
(-2189.041037,1372.830057)
(-1867.855389,1092.592416)
(-2351.248072,2180.952414)
(-2831.426147,584.590193)
(-1759.020085,1839.869477)
(-2830.442294,2575.519506)
(-4414.189298,1556.962798)
(-4891.196331,2888.283402)
(-5671.118777,2640.119202)
(-6467.877119,3602.172008)
(-8340.778189,3626.568473)
(-10573.953690,4453.110252)
(-14306.031232,6162.972506)
(-20167.122950,8279.004169)
(-34040.085220,15138.396951)
(-85095.265164,34322.005607)
(115104.059589,-36655.630820)
(42445.024876,-13013.047968)
(26673.918252,-9691.667125)
(19372.272864,-6845.772759)
(15183.908478,-5659.483926)
(13227.611739,-4214.511045)
(11408.419437,-2857.373838)
(10959.478313,-2275.598899)
(9677.162732,-2420.805039)
(8975.370132,-2689.281186)
(7787.682003,-1934.002528)
(7873.851565,-1431.148913)
(7551.305702,-1507.960437)
(6176.698138,-832.956650)
(7485.268447,-1591.079307)
(5849.106438,-1387.649614)
(5799.238831,-1118.323827)
(6266.268791,-641.323352)
(6614.655033,-1722.507652)
(4723.941507,-748.416663)
(6436.448640,-859.803170)
(5607.471051,-22.920158)
(5015.643483,628.737408)
(5167.973774,-680.542480)
(4701.855917,-875.552753)
(5456.401490,478.595132)
(5056.752844,65.105927)
(3714.946308,-413.688039)
(-25126.000000,-0.000000)
